amount,hour_of_day,location_mismatch,device_trust_score,behavior_anomaly_score,processing_latency_ms,is_fraud
14.69,14,0,0.31,0.39,10.32,0
859.92,8,0,0.56,0.6,8.14,0
34.61,6,0,0.48,0.36,20.9,0
213.2,23,0,0.7,0.38,18.66,0
14.86,11,0,0.74,0.07,21.27,0
56.76,19,0,1.0,0.24,19.0,0
72.69,23,0,0.66,0.52,25.3,0
14.57,13,0,0.69,0.5,17.79,0
66.14,21,1,0.59,0.31,14.22,0
23.93,15,0,0.38,0.63,16.71,1
51.03,18,0,0.51,0.09,21.22,0
51.19,22,0,0.47,0.39,11.1,0
39.37,2,0,0.86,0.15,11.74,0
5.73,10,0,0.68,0.39,13.46,0
91.18,22,0,0.51,0.05,4.48,0
20.34,20,0,0.64,0.57,15.69,0
11.32,19,0,0.45,0.47,5.57,0
3.08,18,0,0.43,0.12,15.27,0
45.69,7,0,0.9,0.38,19.33,0
57.59,19,0,0.96,0.46,12.62,0
1.84,7,0,0.36,0.13,23.39,0
36.88,2,0,0.84,0.06,7.7,0
13.84,9,0,0.62,0.21,20.96,0
52.81,12,0,0.57,0.08,18.38,0
10.58,8,0,0.78,0.34,6.42,0
59.71,5,0,0.01,0.75,28.55,1
25.45,14,0,0.31,0.28,14.68,0
139.02,15,0,0.45,0.33,10.61,0
8.4,4,0,0.31,0.74,7.96,1
21.86,20,0,0.32,0.48,13.9,0
7.02,12,0,0.52,0.38,14.36,0
130.31,18,0,0.63,0.22,15.51,0
105.92,1,0,0.82,0.02,13.51,0
15.92,5,0,0.53,0.07,18.17,0
54.94,0,0,0.44,0.44,13.06,0
85.97,14,1,0.36,0.63,5.33,1
41.51,14,0,0.92,0.2,14.25,0
38.71,13,0,0.15,0.99,3.16,1
14.84,6,0,0.92,0.29,16.77,0
5.89,4,0,0.05,0.97,10.1,1
114.76,19,0,0.95,0.53,15.82,0
116.34,15,0,0.59,0.05,21.57,0
51.13,16,0,0.42,0.57,10.26,0
21.7,10,0,0.68,0.05,20.31,0
22.48,14,0,0.71,0.58,12.83,0
65.72,19,0,0.74,0.27,23.77,0
114.7,15,0,0.59,0.46,13.17,0
110.06,2,0,0.33,0.42,10.8,0
76.68,5,0,0.74,0.31,18.44,0
52.37,20,0,0.95,0.37,12.82,0
5.39,22,0,0.97,0.57,10.79,0
9.81,12,0,0.72,0.56,12.61,0
115.41,0,0,0.31,0.39,14.78,0
47.62,20,0,0.37,0.39,21.71,0
1.46,13,0,0.88,0.15,5.33,0
6.35,1,0,0.88,0.5,15.12,0
55.46,1,0,0.96,0.38,18.12,0
1.25,14,0,0.69,0.5,15.97,0
9.77,17,0,0.9,0.39,21.55,0
40.78,8,0,0.88,0.18,14.63,0
59.87,2,0,0.71,0.11,14.08,0
53.77,3,0,0.85,0.05,17.96,0
13.7,14,0,0.39,0.35,15.5,0
63.27,4,0,0.75,0.17,13.05,0
14.54,19,0,0.97,0.38,17.58,0
20.68,19,0,0.41,0.04,11.74,0
69.62,4,0,0.82,0.23,11.94,0
53.44,9,0,0.52,0.16,12.36,0
3845.0,15,0,0.29,0.89,21.77,1
54.59,11,0,0.79,0.03,2.0,0
43.0,13,0,0.95,0.43,16.98,0
5.92,21,0,0.8,0.07,15.17,0
23.92,10,0,0.59,0.01,6.6,0
16.41,18,0,0.2,0.99,16.55,1
14.99,5,0,0.86,0.12,17.38,0
181.62,9,0,0.59,0.5,17.95,0
25.97,19,0,0.77,0.58,2.0,0
112.3,2,0,0.28,0.68,21.83,1
50.87,21,0,0.92,0.32,11.31,0
80.19,14,0,0.6,0.22,18.43,0
35.92,10,0,0.94,0.26,18.71,0
44.01,21,0,0.79,0.29,10.62,0
34.91,1,0,0.39,0.09,18.3,0
11.86,23,0,0.71,0.22,13.07,0
65.09,5,0,0.94,0.49,4.64,0
17.48,16,0,0.86,0.11,20.84,0
2.23,17,0,0.59,0.44,11.12,0
52.85,3,0,0.97,0.39,10.73,0
10.75,22,0,0.49,0.03,12.98,0
142.05,8,0,0.56,0.01,16.36,0
154.88,9,0,0.82,0.21,14.71,0
124.18,20,0,0.46,0.42,17.74,0
24.11,1,0,0.66,0.2,8.3,0
1.78,10,0,0.81,0.4,11.29,0
132.78,10,0,0.75,0.4,14.42,0
28.95,10,0,0.41,0.48,24.49,0
171.04,0,0,0.74,0.06,14.43,0
166.69,13,0,0.7,0.35,20.43,0
96.87,0,0,0.69,0.04,15.19,0
18.44,20,0,0.88,0.11,12.58,0
25.31,22,0,0.43,0.2,13.77,0
96.24,8,1,0.83,0.42,14.16,0
20.06,23,0,0.83,0.58,18.02,0
10.29,0,1,0.81,0.21,21.87,0
41.69,20,0,0.65,0.31,16.8,0
138.56,21,0,0.58,0.16,20.94,0
60.54,21,0,0.58,0.41,10.18,0
43.21,3,0,0.81,0.22,12.93,0
6.11,0,0,0.65,0.29,11.38,0
3464.85,18,0,0.3,1.0,16.57,1
231.53,9,0,0.74,0.41,13.21,0
8.55,14,0,0.89,0.04,18.65,0
37.52,19,0,0.34,0.33,10.34,0
105.93,3,0,0.98,0.26,15.22,0
68.5,19,0,0.37,0.08,18.43,0
60.7,13,0,0.66,0.12,4.67,0
61.61,4,0,0.69,0.53,25.61,0
23.27,14,0,0.39,0.79,13.58,1
18.38,14,0,0.94,0.02,4.87,0
83.87,15,0,0.63,0.41,15.79,0
84.07,15,0,0.4,0.33,15.17,0
101.9,3,0,0.39,0.82,14.59,1
123.23,8,0,0.76,0.54,19.96,0
36.8,0,0,0.97,0.35,18.74,0
35.81,4,0,0.61,0.08,16.49,0
81.05,8,0,0.49,0.28,17.25,0
53.49,19,0,0.34,0.44,14.48,0
61.53,4,0,0.01,0.81,23.88,1
80.43,3,0,0.73,0.22,7.6,0
111.37,15,0,0.98,0.47,15.7,0
21.62,1,0,0.8,0.41,15.33,0
24.55,15,1,0.95,0.05,19.07,0
5.93,17,1,0.99,0.33,10.78,0
44.17,1,0,0.6,0.11,6.28,0
2.83,15,0,0.41,0.41,15.78,0
32.33,0,0,0.44,0.37,16.41,0
40.11,15,0,0.52,0.58,22.45,0
17.88,2,0,0.66,0.56,8.65,0
45.68,14,0,0.39,0.01,20.77,0
2.55,10,0,0.51,0.05,26.84,0
2.9,9,0,0.52,0.46,13.11,0
87.47,16,0,0.3,0.41,8.55,0
23.33,3,0,0.55,0.48,12.97,0
7.79,16,0,0.38,0.16,15.07,0
37.93,3,0,0.6,0.51,17.82,0
74.48,18,0,0.44,0.27,12.04,0
13.16,0,0,0.88,0.16,22.78,0
49.76,13,0,0.36,0.01,9.43,0
5.46,23,0,0.91,0.52,6.3,0
2730.73,10,0,0.02,0.96,20.53,1
38.9,6,0,0.62,0.59,3.63,0
39.9,16,0,0.68,0.43,13.98,0
51.73,3,0,0.56,0.05,30.59,0
65.75,9,1,0.26,0.7,14.94,1
187.18,16,0,0.84,0.01,9.4,0
37.31,3,0,0.95,0.33,14.71,0
20.5,18,0,0.97,0.21,14.75,0
80.28,17,0,0.77,0.39,15.8,0
16.79,16,0,0.59,0.32,18.31,0
29.9,5,0,0.63,0.16,9.8,0
5.09,6,0,0.76,0.1,23.44,0
2.28,5,0,0.88,0.24,16.23,0
165.37,11,0,0.56,0.59,18.63,0
91.39,8,0,0.94,0.26,11.86,0
60.53,17,0,0.53,0.45,21.43,0
27.29,1,0,0.67,0.03,13.71,0
10.52,16,0,0.97,0.23,16.39,0
9.51,20,0,0.96,0.35,10.33,0
15.4,0,0,0.79,0.45,10.02,0
40.84,22,1,0.53,0.32,18.44,0
63.69,8,0,0.45,0.31,12.78,0
54.97,5,0,0.36,0.46,10.73,0
17.42,1,0,0.8,0.19,11.78,0
155.91,5,0,0.65,0.05,18.49,0
67.95,8,0,0.7,0.21,11.85,0
41.41,2,0,0.63,0.1,14.41,0
48.3,15,0,0.64,0.58,15.08,0
28.2,23,0,0.7,0.35,5.41,0
15.23,14,0,0.94,0.27,7.64,0
23.0,11,0,0.32,0.55,16.68,0
71.91,22,0,0.86,0.54,11.31,0
1.72,7,0,0.57,0.25,20.28,0
7.17,5,1,0.09,0.95,19.83,1
3.35,2,0,0.96,0.04,18.6,0
3.08,22,0,0.51,0.53,24.1,0
97.71,3,0,0.34,0.89,14.58,1
61.81,9,0,0.46,0.34,18.24,0
33.14,13,0,0.46,0.16,12.08,0
6.15,20,0,0.82,0.59,27.26,0
34.83,23,0,0.34,0.04,24.92,0
33.07,14,1,0.21,0.71,15.06,1
10.51,6,0,0.79,0.37,16.93,0
29.44,6,0,0.69,0.37,21.8,0
26.42,7,0,0.59,0.44,14.26,0
48.84,9,0,0.7,0.43,11.72,0
51.41,18,0,0.81,0.48,19.37,0
3.32,18,0,0.37,0.14,15.39,0
24.47,1,0,0.69,0.22,15.91,0
50.16,14,0,0.88,0.23,10.83,0
35.97,0,0,0.55,0.57,6.41,0
98.07,9,0,0.83,0.25,16.18,0
54.75,5,0,0.89,0.13,19.52,0
9.89,21,0,0.87,0.38,13.87,0
4.66,12,0,0.76,0.26,22.18,0
52.42,9,0,0.8,0.15,11.48,0
2.34,11,0,0.85,0.43,9.73,0
45.07,23,0,0.81,0.12,14.66,0
141.86,5,0,0.62,0.38,14.59,0
43.84,5,0,0.05,0.8,18.85,1
25.57,0,0,0.52,0.19,11.13,0
52.54,11,0,0.45,0.57,21.84,0
31.65,22,0,0.55,0.19,24.83,0
40.44,22,0,0.64,0.21,14.8,0
142.91,9,0,0.97,0.52,21.25,0
25.4,13,0,0.97,0.08,9.72,0
163.45,14,0,0.84,0.06,20.38,0
118.88,22,0,0.99,0.17,20.24,0
11.89,23,0,1.0,0.35,19.32,0
4.59,3,0,0.92,0.23,14.92,0
6.31,0,0,0.36,0.37,2.0,0
1.92,7,0,0.6,0.1,11.79,0
5.96,2,0,0.67,0.16,11.87,0
58.44,13,0,0.39,0.34,10.11,0
4.69,16,0,0.87,0.13,15.61,0
20.21,1,0,0.4,0.25,12.91,0
94.18,14,0,0.57,0.34,10.88,0
2.18,5,0,0.2,0.72,9.71,1
85.23,4,0,0.67,0.05,11.42,0
17.55,13,0,0.72,0.28,20.61,0
7.29,18,0,0.81,0.24,11.69,0
60.66,8,0,0.54,0.49,12.43,0
50.57,7,0,0.71,0.54,12.72,0
105.97,2,0,0.81,0.54,16.69,0
67.41,17,0,0.83,0.23,17.28,0
82.35,7,0,0.51,0.18,2.0,0
17.57,15,0,0.35,0.27,20.11,0
10.77,14,0,0.33,0.21,22.18,0
70.44,20,0,0.84,0.43,9.75,0
83.21,14,1,0.57,0.13,10.14,0
233.85,15,0,0.39,0.4,12.75,0
27.6,0,0,0.07,0.66,11.22,1
24.26,9,0,0.84,0.17,16.12,0
75.9,18,0,0.72,0.41,5.27,0
21.84,4,0,0.65,0.09,9.41,0
134.51,17,0,0.74,0.07,22.7,0
98.74,2,0,0.14,0.95,10.36,1
29.02,3,0,0.52,0.08,21.22,0
70.49,3,0,0.56,0.13,16.78,0
71.23,10,0,0.52,0.34,5.95,0
6.44,8,0,0.91,0.46,18.18,0
117.42,0,0,0.71,0.08,14.41,0
36.19,15,0,0.81,0.52,12.72,0
88.57,8,0,0.34,0.66,16.22,1
20.29,10,0,0.48,0.44,17.37,0
113.94,5,0,0.22,0.66,18.54,1
25.65,16,0,0.78,0.0,20.89,0
1.54,11,0,0.54,0.44,17.04,0
118.9,21,0,0.58,0.53,8.12,0
5.79,7,0,0.8,0.2,12.63,0
20.23,15,0,0.98,0.43,29.72,0
150.85,4,0,0.41,0.04,18.62,0
151.4,20,0,0.34,0.43,26.85,0
43.6,0,0,0.44,0.04,21.98,0
50.96,16,0,0.81,0.35,16.21,0
30.75,23,0,0.44,0.36,16.51,0
18.35,20,0,0.71,0.18,14.82,0
20.92,7,0,0.71,0.05,6.31,0
56.82,9,0,0.51,0.57,15.09,0
70.79,17,0,0.35,0.32,21.05,0
79.41,14,0,0.58,0.35,12.0,0
78.94,19,0,0.43,0.37,17.06,0
5.78,12,0,0.26,0.69,19.26,1
35.1,9,0,0.67,0.04,10.45,0
3.96,8,0,0.77,0.54,12.74,0
40.87,12,0,0.35,0.14,9.91,0
30.13,2,0,0.7,0.05,10.89,0
110.33,21,1,0.47,0.39,8.56,0
22.61,22,0,0.77,0.59,10.5,0
7.23,2,0,0.87,0.03,22.1,0
8.72,0,0,0.86,0.26,10.42,0
72.67,1,1,0.56,0.32,15.63,0
49.15,10,0,0.7,0.15,12.49,0
6.33,13,0,0.86,0.59,20.89,0
5.39,9,0,0.34,0.38,21.56,0
61.36,6,0,0.72,0.51,19.32,0
4.78,22,0,0.89,0.25,16.53,0
87.26,0,0,0.56,0.21,13.84,0
62.25,6,0,0.62,0.33,9.04,0
5.24,14,0,0.79,0.26,24.72,0
5.43,10,0,0.35,0.43,11.2,0
216.77,5,0,0.57,0.16,18.32,0
24.44,21,0,0.51,0.27,20.3,0
24.15,6,0,0.05,0.97,12.22,1
84.78,6,0,0.44,0.45,20.19,0
148.11,0,0,0.58,0.1,18.82,0
214.44,9,0,0.35,0.68,23.64,1
70.99,20,0,0.72,0.35,12.65,0
24.6,14,0,0.61,0.41,8.57,0
5.36,7,0,0.33,0.18,12.47,0
76.06,23,0,0.49,0.26,16.04,0
41.87,18,0,0.31,0.48,15.29,0
28.6,2,0,0.55,0.2,13.03,0
119.41,22,0,0.48,0.1,5.45,0
6.89,14,0,0.78,0.23,17.35,0
34.93,3,0,0.52,0.04,24.86,0
1.57,5,0,0.56,0.43,17.32,0
32.62,9,0,0.81,0.09,18.05,0
3.9,17,0,0.64,0.17,17.86,0
7.32,15,0,0.69,0.53,16.99,0
7.25,17,0,0.89,0.32,19.66,0
1778.47,5,0,0.01,0.97,16.98,1
69.53,18,0,0.99,0.33,13.44,0
44.78,16,0,0.93,0.13,11.02,0
164.74,17,0,0.5,0.02,13.76,0
24.49,12,0,0.93,0.36,16.57,0
17.82,6,0,0.83,0.43,13.42,0
102.48,19,0,0.95,0.53,16.57,0
13.65,11,0,0.78,0.46,17.2,0
166.14,1,0,0.77,0.56,19.17,0
1.61,11,0,0.12,0.7,21.41,1
176.13,11,0,0.63,0.45,15.39,0
3.21,23,0,0.44,0.52,8.46,0
111.89,3,0,0.53,0.4,13.27,0
38.51,3,1,0.36,0.91,15.22,1
248.84,17,0,0.36,0.11,5.82,0
4.83,15,0,0.81,0.07,21.94,0
41.36,13,0,0.12,0.82,15.71,1
175.18,16,0,0.31,0.4,16.91,0
38.02,16,0,0.65,0.47,21.83,0
50.63,2,0,0.41,0.2,11.85,0
60.5,5,0,0.98,0.28,17.87,0
31.31,22,0,0.44,0.02,14.45,0
50.38,12,0,0.43,0.53,14.08,0
44.89,8,0,0.32,0.51,11.14,0
116.71,20,0,0.53,0.47,23.33,0
3.33,8,0,0.32,0.03,13.12,0
17.49,7,0,0.65,0.1,18.5,0
151.2,16,0,0.65,0.2,5.62,0
111.48,15,0,0.34,0.16,20.9,0
31.41,15,0,0.02,0.99,20.26,1
49.4,18,0,0.88,0.12,15.49,0
17.24,23,0,0.62,0.32,13.87,0
11.42,15,0,0.6,0.34,17.0,0
32.15,13,0,0.79,0.26,26.44,0
22.8,19,0,0.8,0.14,6.18,0
44.81,13,0,0.83,0.58,18.91,0
5.05,13,0,0.88,0.25,10.44,0
184.25,13,0,0.46,0.44,14.9,0
215.19,11,0,0.35,0.11,13.76,0
60.89,5,0,0.57,0.49,12.86,0
39.4,19,0,0.9,0.13,14.95,0
19.52,12,0,0.35,0.41,9.33,0
85.05,15,0,0.7,0.3,20.15,0
58.72,8,0,0.79,0.09,6.03,0
9.87,1,0,0.64,0.01,17.7,0
121.92,21,0,0.06,0.77,13.37,1
87.45,2,0,0.53,0.08,9.15,0
150.59,9,0,0.35,0.42,16.01,0
65.68,19,0,0.5,0.39,7.22,0
48.52,1,0,0.33,0.21,15.2,0
28.09,23,0,0.81,0.11,7.89,0
135.95,9,0,0.93,0.11,17.31,0
101.52,7,0,0.74,0.35,10.38,0
3.31,16,0,0.76,0.33,12.75,0
2.34,21,0,0.63,0.53,16.47,0
24.62,0,0,0.41,0.38,11.14,0
84.18,5,0,0.38,0.96,14.71,1
219.21,6,0,0.54,0.02,7.43,0
9.15,14,0,0.83,0.4,18.15,0
46.09,17,0,0.97,0.14,23.82,0
24.97,8,0,0.6,0.15,28.96,0
176.19,7,0,0.56,0.43,15.46,0
93.3,9,0,0.61,0.48,18.94,0
92.11,3,0,0.6,0.22,6.1,0
32.62,19,0,0.74,0.47,22.51,0
27.79,7,0,0.81,0.27,18.88,0
16.97,0,0,0.85,0.51,12.58,0
3.9,7,0,0.75,0.01,21.19,0
101.02,22,0,0.61,0.05,13.73,0
84.81,11,0,0.97,0.47,12.71,0
409.62,22,0,0.8,0.37,17.38,0
285.74,14,0,0.6,0.34,9.68,0
41.53,12,0,0.61,0.37,20.11,0
74.26,15,0,0.87,0.56,9.72,0
145.81,22,0,0.61,0.39,9.75,0
95.74,17,0,0.66,0.39,10.45,0
15.21,0,0,0.5,0.46,18.8,0
30.94,16,1,0.89,0.52,11.92,0
7.91,15,0,0.67,0.16,8.26,0
155.01,22,0,0.69,0.37,11.97,0
47.59,4,0,0.92,0.35,14.84,0
13.98,19,0,0.94,0.08,9.1,0
56.69,20,0,0.88,0.31,9.24,0
49.13,9,0,0.35,0.04,25.56,0
23.17,5,0,0.61,0.11,10.7,0
7.03,11,0,0.54,0.55,13.38,0
4881.61,9,0,0.03,0.72,13.16,1
37.73,21,0,0.94,0.35,12.89,0
74.99,16,0,0.92,0.19,18.11,0
37.72,1,0,0.63,0.33,19.74,0
96.59,18,0,0.39,0.14,13.47,0
41.14,19,0,0.31,0.27,8.82,0
42.16,5,0,0.14,0.91,21.37,1
105.64,12,0,0.33,0.23,14.52,0
26.83,8,0,0.73,0.21,23.65,0
8.19,11,1,0.73,0.27,3.77,0
2.46,17,0,0.93,0.06,15.98,0
4395.77,7,0,0.1,0.94,24.59,1
49.42,17,0,0.56,0.0,13.23,0
61.88,22,0,0.9,0.3,13.87,0
12.97,21,0,0.63,0.51,16.48,0
8.33,1,0,0.34,0.33,12.21,0
1.73,7,0,0.38,0.36,13.44,0
22.58,9,0,0.87,0.02,13.31,0
45.57,8,0,0.82,0.52,11.86,0
25.9,23,0,0.91,0.23,21.14,0
29.77,17,0,0.38,0.58,17.31,0
118.25,7,0,0.83,0.07,16.25,0
22.41,18,0,0.76,0.57,19.04,0
37.08,2,0,0.18,0.72,13.68,1
77.54,8,0,0.98,0.03,11.13,0
26.25,12,0,0.7,0.58,11.99,0
49.65,8,0,0.93,0.01,15.01,0
100.16,19,0,0.9,0.44,9.7,0
150.31,11,0,0.53,0.53,12.5,0
8.95,22,0,0.68,0.11,12.42,0
131.58,12,0,0.6,0.21,25.62,0
34.88,7,0,0.8,0.34,2.0,0
15.94,14,0,0.71,0.41,14.1,0
31.73,12,0,0.85,0.52,23.63,0
196.68,20,0,0.31,0.46,15.61,0
34.92,12,0,0.78,0.22,18.77,0
20.93,16,1,0.52,0.49,15.5,0
51.17,14,0,0.16,0.95,11.66,1
14.73,21,0,0.86,0.14,3.79,0
4.94,18,0,0.36,0.04,16.03,0
7.9,2,0,0.34,0.81,11.12,1
7.85,13,0,0.09,0.84,11.0,1
9.24,9,0,0.59,0.09,12.51,0
8.47,16,0,0.53,0.53,23.72,0
52.2,7,0,0.8,0.6,27.02,0
11.04,17,0,0.79,0.03,16.09,0
22.21,11,1,0.53,0.3,12.68,0
114.55,16,0,0.61,0.2,9.11,0
33.12,22,0,0.45,0.24,17.34,0
56.06,10,0,0.77,0.27,23.91,0
10.46,8,0,0.58,0.44,13.76,0
11.68,21,0,0.39,0.35,3.11,0
3.09,23,1,0.38,0.63,18.35,1
10.25,23,0,0.53,0.2,19.93,0
17.33,22,0,0.82,0.32,7.07,0
10.74,14,0,0.32,0.49,15.88,0
5.64,8,0,0.48,0.22,17.26,0
7.43,11,0,0.41,0.28,14.63,0
31.88,10,0,0.97,0.41,11.05,0
12.55,16,0,0.79,0.52,20.08,0
23.65,5,0,0.35,0.99,12.98,1
36.0,7,1,0.14,0.69,7.57,1
59.62,9,0,0.9,0.59,4.75,0
3.01,14,1,0.06,0.71,21.3,1
81.32,3,0,1.0,0.27,18.08,0
50.43,17,0,0.5,0.38,15.44,0
2764.49,10,0,0.12,0.75,12.8,1
104.41,8,1,0.78,0.36,12.36,0
127.83,8,1,0.73,0.03,9.62,0
4.15,7,1,0.22,0.98,12.84,1
17.21,2,1,0.86,0.48,4.4,0
83.05,20,0,0.6,0.02,11.32,0
69.97,17,0,0.77,0.03,13.45,0
11.2,13,0,0.87,0.45,18.05,0
12.74,2,0,0.66,0.22,14.8,0
24.14,16,1,0.27,0.65,18.97,1
34.13,3,0,0.04,0.9,21.75,1
3243.69,20,0,0.28,0.71,20.29,1
24.02,17,0,0.89,0.18,17.35,0
32.04,14,0,0.57,0.15,15.06,0
69.81,18,0,0.5,0.27,10.1,0
2769.89,21,0,0.3,0.86,18.7,1
15.55,5,0,0.28,0.71,23.4,1
63.47,14,0,0.72,0.37,16.71,0
